id,name,artists,genre,popularity,total_artist_followers,avg_artist_popularity
0W4NhJhcqKCqEP2GIpDCDq,Love,"[""Keyshia Cole""]",R&B,83.0,4388545.0,72.0
4BP3uh0hFLFRb5cjsgLqDh,Fortunate Son,"[""Creedence Clearwater Revival""]",Rock,83.0,8068981.0,79.0
1jJci4qxiYcOHhQR247rEU,Kids,"[""MGMT""]",Pop,83.0,3622847.0,75.0
7JIuqL4ZqkpfGKQhYlrirs,The Only Exception,"[""Paramore""]",Pop,83.0,9956387.0,81.0
3sNVsP50132BTNlImLx70i,Bound 2,"[""Kanye West""]",Hip-Hop,83.0,31538631.0,92.0
6PwjJ58I4t7Mae9xfZ9l9v,Somebody Told Me,"[""The Killers""]",Rock,83.0,8122354.0,79.0
5O4erNlJ74PIF6kGol1ZrC,Could You Be Loved,"[""Bob Marley & The Wailers""]",Folk,83.0,13494959.0,81.0
51EC3I1nQXpec4gDk0mQyP,90210 (feat. Kacy Hill),"[""Travis Scott"", ""Kacy Hill""]",Pop,83.0,42012787.0,78.5
7aQjPecQdIuNd1sz3KCDhD,Lovefool,"[""The Cardigans""]",Pop,83.0,1718791.0,71.0
2UREu1Y8CO4jXkbvqAtP7g,Monster,"[""Skillet""]",Rock,83.0,6002114.0,77.0
3Z3QhZAZpqwZa1phsbQ3JZ,Driving Home for Christmas,"[""Chris Rea""]",Pop,83.0,1158004.0,73.0
4EchqUKQ3qAQuRNKmeIpnf,The Kids Aren't Alright,"[""The Offspring""]",Rock,83.0,6780727.0,78.0
2bL2gyO6kBdLkNSkxXNh6x,Animals,"[""Maroon 5""]",Pop,83.0,46271489.0,88.0
61mWefnWQOLf90gepjOCb3,Duality,"[""Slipknot""]",Rock,83.0,14387254.0,80.0
6LUGvXEAK8WxIBYK43uoTb,Back to the Old House - 2011 Remaster,"[""The Smiths""]",Pop,83.0,7938063.0,81.0
1yjY7rpaAQvKwpdUliHx0d,Still into You,"[""Paramore""]",Pop,83.0,9956387.0,81.0
0nbXyq5TXYPCO7pr3N8S4I,The Box,"[""Roddy Ricch""]",Hip-Hop,83.0,11988952.0,76.0
5Y77SQxEr1eiofPeUTPHxM,You,"[""Lloyd"", ""Lil Wayne""]",Hip-Hop,83.0,21136734.0,80.0
5yVIlYEHZxQVLyInCdldoS,Impossible,"[""James Arthur""]",Pop,83.0,21061866.0,81.0
2PpruBYCo4H7WOBJ7Q2EwM,Hey Ya! - Radio Mix,"[""Outkast""]",Hip-Hop,83.0,3488861.0,76.0
4S1VYqwfkLit9mKVY3MXoo,Forever Young,"[""Alphaville""]",Electronic,83.0,1109645.0,71.0
0v1XpBHnsbkCn7iJ9Ucr1l,It's My Life,"[""Bon Jovi""]",Rock,83.0,16094444.0,80.0
6naxalmIoLFWR0siv8dnQQ,Oops!...I Did It Again,"[""Britney Spears""]",Pop,83.0,18130415.0,84.0
1lOe9qE0vR9zwWQAOk6CoO,Ransom,"[""Lil Tecca""]",Hip-Hop,83.0,10371967.0,81.0
6HSXNV0b4M4cLJ7ljgVVeh,Knockin' On Heaven's Door,"[""Bob Dylan""]",Folk,83.0,7446731.0,75.0
2SiXAy7TuUkycRVbbWDEpo,You Shook Me All Night Long,"[""AC/DC""]",Rock,83.0,32748677.0,83.0
4nZi6XNe36Ut4Nij3IQ1yC,Silver Springs - 2004 Remaster,"[""Fleetwood Mac""]",Rock,83.0,14272894.0,85.0
0Z2J91b2iTGLVTZC4fKgxf,Hit 'Em Up - Single Version,"[""2Pac"", ""Outlawz""]",Hip-Hop,83.0,23346414.0,74.0
52ojopYMUzeNcudsoz7O9D,"New Person, Same Old Mistakes","[""Tame Impala""]",Rock,83.0,9857195.0,86.0
6ADSaE87h8Y3lccZlBJdXH,With Or Without You - Remastered,"[""U2""]",Rock,83.0,13715623.0,78.0
2p8IUWQDrpjuFltbdgLOag,After Hours,"[""The Weeknd""]",Pop,83.0,115685222.0,96.0
63T7DJ1AFDD6Bn8VzG6JE8,"Paint It, Black","[""The Rolling Stones""]",Rock,83.0,15880136.0,79.0
3jVtllWS5CFFWLQng8sKsr,2 On (feat. ScHoolboy Q),"[""Tinashe"", ""ScHoolboy Q""]",Hip-Hop,83.0,8176987.0,76.0
5W8YXBz9MTIDyrpYaCg2Ky,Last Resort,"[""Papa Roach""]",Rock,83.0,6207336.0,74.0
4VXIryQMWpIdGgYR4TrjT1,All Girls Are The Same,"[""Juice WRLD""]",Hip-Hop,83.0,43302258.0,88.0
6YUTL4dYpB9xZO5qExPf05,Summer,"[""Calvin Harris""]",Electronic,83.0,23171950.0,86.0
6dGnYIeXmHdcikdzNNDMm2,Here Comes The Sun - Remastered 2009,"[""The Beatles""]",Rock,83.0,31014924.0,85.0
3ovjw5HZZv43SxTwApooCM,Wind Of Change,"[""Scorpions""]",Rock,83.0,8756560.0,76.0
6L89mwZXSOwYl76YXfX13s,Basket Case,"[""Green Day""]",Rock,83.0,17593270.0,82.0
51c94ac31swyDQj9B3Lzs3,Change (In the House of Flies),"[""Deftones""]",Rock,83.0,8004246.0,83.0
2P4OICZRVAQcYAV2JReRfj,Waiting For Love,"[""Avicii""]",Electronic,83.0,23501503.0,81.0
5Nm9ERjJZ5oyfXZTECKmRt,Stay With Me,"[""Sam Smith""]",Pop,83.0,26562844.0,84.0
