asin,title,author,category_name,numRatings,rating
gr_452306.The_Sisterhood_of_the_Traveling_Pants,The Sisterhood of the Traveling Pants,Ann Brashares,"Young Adult, Fiction, Chick Lit, Contemporary, Romance",623509,3.8
gr_13497.A_Feast_for_Crows,A Feast for Crows,George R.R. Martin,"Fantasy, Fiction, Epic Fantasy, Science Fiction Fantasy, High Fantasy",620916,4.14
gr_4137.Me_Talk_Pretty_One_Day,Me Talk Pretty One Day,David Sedaris,"Nonfiction, Humor, Memoir, Essays, Short Stories",617998,3.99
gr_23772.Green_Eggs_and_Ham,Green Eggs and Ham,Dr. Seuss,"Childrens, Picture Books, Classics, Fiction, Poetry",616631,4.3
gr_149267.The_Stand,The Stand,"Stephen King, Bernie Wrightson","Horror, Fiction, Fantasy, Science Fiction, Post Apocalyptic",616021,4.34
gr_12262741-wild,Wild: From Lost to Found on the Pacific Crest Trail,Cheryl Strayed,"Nonfiction, Memoir, Travel, Biography, Adventure",615431,4.01
gr_39832183-the-guernsey-literary-and-potato-peel-pie-society,The Guernsey Literary and Potato Peel Pie Society,"Mary Ann Shaffer, Annie Barrows","Historical Fiction, Fiction, Historical, Romance, World War II",610392,4.17
gr_41817486-a-clockwork-orange,A Clockwork Orange,Anthony Burgess,"Classics, Fiction, Science Fiction, Dystopia, Literature",601048,3.99
gr_5326.A_Christmas_Carol,A Christmas Carol,"Charles Dickens, Joe L. Wheeler","Classics, Fiction, Christmas, Fantasy, Literature",599679,4.06
gr_7763.The_Joy_Luck_Club,The Joy Luck Club,Amy Tan,"Fiction, Historical Fiction, Classics, China, Contemporary",597870,3.93
gr_7896527-throne-of-glass,Throne of Glass,Sarah J. Maas,"Fantasy, Young Adult, Romance, Fiction, Magic",596208,4.2
gr_976.Deception_Point,Deception Point,Dan Brown,"Fiction, Thriller, Mystery, Suspense, Mystery Thriller",591490,3.72
gr_6514.The_Bell_Jar,The Bell Jar,Sylvia Plath,"Classics, Fiction, Feminism, Mental Health, Psychology",591175,4.01
gr_6493208-the-immortal-life-of-henrietta-lacks,The Immortal Life of Henrietta Lacks,Rebecca Skloot,"Nonfiction, Science, History, Biography, Medicine",587187,4.07
gr_52036.Siddhartha,Siddhartha,"Hermann Hesse, Hilda Rosner","Classics, Fiction, Philosophy, Religion, Spirituality",582674,4.03
gr_2187.Middlesex,Middlesex,Jeffrey Eugenides,"Fiction, Historical Fiction, Contemporary, LGBT, Literary Fiction",581175,4.01
gr_5886881-dark-places,Dark Places,Gillian Flynn,"Mystery, Fiction, Thriller, Crime, Mystery Thriller",578176,3.93
gr_16068905-fangirl,Fangirl,Rainbow Rowell,"Young Adult, Contemporary, Romance, Fiction, Realistic Fiction",574854,4.05
gr_37442.Wicked,Wicked: The Life and Times of the Wicked Witch of the West,"Gregory Maguire, Douglas Smith","Fantasy, Fiction, Adult, Science Fiction Fantasy, Retellings",573497,3.54
gr_6339664-hush-hush,"Hush, Hush",Becca Fitzpatrick,"Young Adult, Fantasy, Romance, Paranormal, Angels",573419,3.97
gr_18774964-a-man-called-ove,A Man Called Ove,"Fredrik Backman, Henning Koch","Fiction, Contemporary, Audiobook, Humor, Book Club",568758,4.36
gr_33.The_Lord_of_the_Rings,The Lord of the Rings,J.R.R. Tolkien,"Fantasy, Classics, Fiction, Adventure, Science Fiction Fantasy",564734,4.5
gr_5358.The_Firm,The Firm,"John Grisham, Robin Waterfield","Fiction, Thriller, Mystery, Suspense, Crime",564260,4.02
gr_38746485-becoming,Becoming,Michelle Obama,"Nonfiction, Memoir, Biography, Audiobook, Autobiography",564220,4.53
gr_11125.Digital_Fortress,Digital Fortress,Dan Brown,"Fiction, Thriller, Mystery, Suspense, Crime",561187,3.66
gr_24770.Uglies,Uglies,Scott Westerfeld,"Young Adult, Dystopia, Science Fiction, Fiction, Fantasy",560175,3.86
gr_10441.The_Memory_Keeper_s_Daughter,The Memory Keeper's Daughter,Kim Edwards,"Fiction, Contemporary, Adult Fiction, Adult, Historical Fiction",560123,3.67
gr_3228917-outliers,Outliers: The Story of Success,Malcolm Gladwell,"Nonfiction, Psychology, Business, Self Help, Sociology",556065,4.16
gr_10664113-a-dance-with-dragons,A Dance with Dragons,George R.R. Martin,"Fantasy, Fiction, Epic Fantasy, Science Fiction Fantasy, High Fantasy",555900,4.32
gr_345627.Vampire_Academy,Vampire Academy,Richelle Mead,"Young Adult, Fantasy, Vampires, Paranormal, Romance",548959,4.12
gr_11505797-beautiful-disaster,Beautiful Disaster,Jamie McGuire,"Romance, New Adult, Contemporary, Young Adult, Contemporary Romance",546801,4.09
gr_12067.Good_Omens,"Good Omens: The Nice and Accurate Prophecies of Agnes Nutter, Witch","Terry Pratchett, Neil Gaiman","Fantasy, Fiction, Humor, Urban Fantasy, Comedy",543224,4.24
gr_5526.Dear_John,Dear John,Nicholas Sparks,"Romance, Fiction, Chick Lit, Contemporary, Adult",539724,4.03
gr_252577.Angela_s_Ashes,Angela's Ashes,Frank McCourt,"Nonfiction, Memoir, Biography, Classics, Ireland",539576,4.11
gr_6304335-beautiful-creatures,Beautiful Creatures,"Kami Garcia, Margaret Stohl","Young Adult, Fantasy, Paranormal, Romance, Fiction",539336,3.76
gr_40874325-the-shack,The Shack,William Paul Young,"Fiction, Christian, Christian Fiction, Religion, Spirituality",538472,3.78
gr_17802724-the-husband-s-secret,The Husband's Secret,Liane Moriarty,"Fiction, Mystery, Chick Lit, Contemporary, Audiobook",532210,3.94
